id,display_name,category,category_name,tags,suggested_rarity,master_64,export_128,export_256,silhouette_64
ritual_dagger,Ritual Dagger,blades,Blades,blades|ritual|dagger,,sprites/64x64/blades/ritual_dagger.png,exports/128x128/blades/ritual_dagger.png,exports/256x256/blades/ritual_dagger.png,variants/silhouettes/64x64/blades/ritual_dagger_silhouette.png
rune_sword,Rune Sword,blades,Blades,blades|rune|sword,,sprites/64x64/blades/rune_sword.png,exports/128x128/blades/rune_sword.png,exports/256x256/blades/rune_sword.png,variants/silhouettes/64x64/blades/rune_sword_silhouette.png
saber,Saber,blades,Blades,blades|saber,,sprites/64x64/blades/saber.png,exports/128x128/blades/saber.png,exports/256x256/blades/saber.png,variants/silhouettes/64x64/blades/saber_silhouette.png
scimitar,Scimitar,blades,Blades,blades|scimitar,,sprites/64x64/blades/scimitar.png,exports/128x128/blades/scimitar.png,exports/256x256/blades/scimitar.png,variants/silhouettes/64x64/blades/scimitar_silhouette.png
shortsword,Shortsword,blades,Blades,blades|shortsword,,sprites/64x64/blades/shortsword.png,exports/128x128/blades/shortsword.png,exports/256x256/blades/shortsword.png,variants/silhouettes/64x64/blades/shortsword_silhouette.png
twinblade,Twinblade,blades,Blades,blades|twinblade,,sprites/64x64/blades/twinblade.png,exports/128x128/blades/twinblade.png,exports/256x256/blades/twinblade.png,variants/silhouettes/64x64/blades/twinblade_silhouette.png
battleaxe,Battleaxe,impact-weapons,Axes & Impact Weapons,impact-weapons|battleaxe,,sprites/64x64/impact-weapons/battleaxe.png,exports/128x128/impact-weapons/battleaxe.png,exports/256x256/impact-weapons/battleaxe.png,variants/silhouettes/64x64/impact-weapons/battleaxe_silhouette.png
club,Club,impact-weapons,Axes & Impact Weapons,impact-weapons|club,,sprites/64x64/impact-weapons/club.png,exports/128x128/impact-weapons/club.png,exports/256x256/impact-weapons/club.png,variants/silhouettes/64x64/impact-weapons/club_silhouette.png
double_axe,Double Axe,impact-weapons,Axes & Impact Weapons,impact-weapons|double|axe,,sprites/64x64/impact-weapons/double_axe.png,exports/128x128/impact-weapons/double_axe.png,exports/256x256/impact-weapons/double_axe.png,variants/silhouettes/64x64/impact-weapons/double_axe_silhouette.png
flanged_mace,Flanged Mace,impact-weapons,Axes & Impact Weapons,impact-weapons|flanged|mace,,sprites/64x64/impact-weapons/flanged_mace.png,exports/128x128/impact-weapons/flanged_mace.png,exports/256x256/impact-weapons/flanged_mace.png,variants/silhouettes/64x64/impact-weapons/flanged_mace_silhouette.png
hand_axe,Hand Axe,impact-weapons,Axes & Impact Weapons,impact-weapons|hand|axe,,sprites/64x64/impact-weapons/hand_axe.png,exports/128x128/impact-weapons/hand_axe.png,exports/256x256/impact-weapons/hand_axe.png,variants/silhouettes/64x64/impact-weapons/hand_axe_silhouette.png
mace,Mace,impact-weapons,Axes & Impact Weapons,impact-weapons|mace,,sprites/64x64/impact-weapons/mace.png,exports/128x128/impact-weapons/mace.png,exports/256x256/impact-weapons/mace.png,variants/silhouettes/64x64/impact-weapons/mace_silhouette.png
maul,Maul,impact-weapons,Axes & Impact Weapons,impact-weapons|maul,,sprites/64x64/impact-weapons/maul.png,exports/128x128/impact-weapons/maul.png,exports/256x256/impact-weapons/maul.png,variants/silhouettes/64x64/impact-weapons/maul_silhouette.png
morningstar,Morningstar,impact-weapons,Axes & Impact Weapons,impact-weapons|morningstar,,sprites/64x64/impact-weapons/morningstar.png,exports/128x128/impact-weapons/morningstar.png,exports/256x256/impact-weapons/morningstar.png,variants/silhouettes/64x64/impact-weapons/morningstar_silhouette.png
warhammer,Warhammer,impact-weapons,Axes & Impact Weapons,impact-weapons|warhammer,,sprites/64x64/impact-weapons/warhammer.png,exports/128x128/impact-weapons/warhammer.png,exports/256x256/impact-weapons/warhammer.png,variants/silhouettes/64x64/impact-weapons/warhammer_silhouette.png
war_pick,War Pick,impact-weapons,Axes & Impact Weapons,impact-weapons|war|pick,,sprites/64x64/impact-weapons/war_pick.png,exports/128x128/impact-weapons/war_pick.png,exports/256x256/impact-weapons/war_pick.png,variants/silhouettes/64x64/impact-weapons/war_pick_silhouette.png
simple_wand,Simple Wand,arcane-weapons,Arcane Weapons,arcane-weapons|simple|wand,,sprites/64x64/arcane-weapons/simple_wand.png,exports/128x128/arcane-weapons/simple_wand.png,exports/256x256/arcane-weapons/simple_wand.png,variants/silhouettes/64x64/arcane-weapons/simple_wand_silhouette.png
crooked_wand,Crooked Wand,arcane-weapons,Arcane Weapons,arcane-weapons|crooked|wand,,sprites/64x64/arcane-weapons/crooked_wand.png,exports/128x128/arcane-weapons/crooked_wand.png,exports/256x256/arcane-weapons/crooked_wand.png,variants/silhouettes/64x64/arcane-weapons/crooked_wand_silhouette.png
crystal_wand,Crystal Wand,arcane-weapons,Arcane Weapons,arcane-weapons|crystal|wand,,sprites/64x64/arcane-weapons/crystal_wand.png,exports/128x128/arcane-weapons/crystal_wand.png,exports/256x256/arcane-weapons/crystal_wand.png,variants/silhouettes/64x64/arcane-weapons/crystal_wand_silhouette.png
fire_staff,Fire Staff,arcane-weapons,Arcane Weapons,arcane-weapons|fire|staff,,sprites/64x64/arcane-weapons/fire_staff.png,exports/128x128/arcane-weapons/fire_staff.png,exports/256x256/arcane-weapons/fire_staff.png,variants/silhouettes/64x64/arcane-weapons/fire_staff_silhouette.png
frost_staff,Frost Staff,arcane-weapons,Arcane Weapons,arcane-weapons|frost|staff,,sprites/64x64/arcane-weapons/frost_staff.png,exports/128x128/arcane-weapons/frost_staff.png,exports/256x256/arcane-weapons/frost_staff.png,variants/silhouettes/64x64/arcane-weapons/frost_staff_silhouette.png
bone_staff,Bone Staff,arcane-weapons,Arcane Weapons,arcane-weapons|bone|staff,,sprites/64x64/arcane-weapons/bone_staff.png,exports/128x128/arcane-weapons/bone_staff.png,exports/256x256/arcane-weapons/bone_staff.png,variants/silhouettes/64x64/arcane-weapons/bone_staff_silhouette.png
spell_tome,Spell Tome,arcane-weapons,Arcane Weapons,arcane-weapons|spell|tome,,sprites/64x64/arcane-weapons/spell_tome.png,exports/128x128/arcane-weapons/spell_tome.png,exports/256x256/arcane-weapons/spell_tome.png,variants/silhouettes/64x64/arcane-weapons/spell_tome_silhouette.png
arcane_focus_orb,Focus Orb,arcane-weapons,Arcane Weapons,arcane-weapons|arcane|focus|orb,,sprites/64x64/arcane-weapons/focus_orb.png,exports/128x128/arcane-weapons/focus_orb.png,exports/256x256/arcane-weapons/focus_orb.png,variants/silhouettes/64x64/arcane-weapons/focus_orb_silhouette.png
hunting_spear,Hunting Spear,polearms,Polearms,polearms|hunting|spear,,sprites/64x64/polearms/hunting_spear.png,exports/128x128/polearms/hunting_spear.png,exports/256x256/polearms/hunting_spear.png,variants/silhouettes/64x64/polearms/hunting_spear_silhouette.png
war_spear,War Spear,polearms,Polearms,polearms|war|spear,,sprites/64x64/polearms/war_spear.png,exports/128x128/polearms/war_spear.png,exports/256x256/polearms/war_spear.png,variants/silhouettes/64x64/polearms/war_spear_silhouette.png
trident,Trident,polearms,Polearms,polearms|trident,,sprites/64x64/polearms/trident.png,exports/128x128/polearms/trident.png,exports/256x256/polearms/trident.png,variants/silhouettes/64x64/polearms/trident_silhouette.png
glaive,Glaive,polearms,Polearms,polearms|glaive,,sprites/64x64/polearms/glaive.png,exports/128x128/polearms/glaive.png,exports/256x256/polearms/glaive.png,variants/silhouettes/64x64/polearms/glaive_silhouette.png
halberd,Halberd,polearms,Polearms,polearms|halberd,,sprites/64x64/polearms/halberd.png,exports/128x128/polearms/halberd.png,exports/256x256/polearms/halberd.png,variants/silhouettes/64x64/polearms/halberd_silhouette.png
pike,Pike,polearms,Polearms,polearms|pike,,sprites/64x64/polearms/pike.png,exports/128x128/polearms/pike.png,exports/256x256/polearms/pike.png,variants/silhouettes/64x64/polearms/pike_silhouette.png
lance,Lance,polearms,Polearms,polearms|lance,,sprites/64x64/polearms/lance.png,exports/128x128/polearms/lance.png,exports/256x256/polearms/lance.png,variants/silhouettes/64x64/polearms/lance_silhouette.png
scythe,Scythe,polearms,Polearms,polearms|scythe,,sprites/64x64/polearms/scythe.png,exports/128x128/polearms/scythe.png,exports/256x256/polearms/scythe.png,variants/silhouettes/64x64/polearms/scythe_silhouette.png
quarterstaff,Quarterstaff,polearms,Polearms,polearms|quarterstaff,,sprites/64x64/polearms/quarterstaff.png,exports/128x128/polearms/quarterstaff.png,exports/256x256/polearms/quarterstaff.png,variants/silhouettes/64x64/polearms/quarterstaff_silhouette.png
battle_staff,Battle Staff,polearms,Polearms,polearms|battle|staff,,sprites/64x64/polearms/battle_staff.png,exports/128x128/polearms/battle_staff.png,exports/256x256/polearms/battle_staff.png,variants/silhouettes/64x64/polearms/battle_staff_silhouette.png
shortbow,Shortbow,ranged-weapons,Ranged Weapons,ranged-weapons|shortbow,,sprites/64x64/ranged-weapons/shortbow.png,exports/128x128/ranged-weapons/shortbow.png,exports/256x256/ranged-weapons/shortbow.png,variants/silhouettes/64x64/ranged-weapons/shortbow_silhouette.png
longbow,Longbow,ranged-weapons,Ranged Weapons,ranged-weapons|longbow,,sprites/64x64/ranged-weapons/longbow.png,exports/128x128/ranged-weapons/longbow.png,exports/256x256/ranged-weapons/longbow.png,variants/silhouettes/64x64/ranged-weapons/longbow_silhouette.png
recurved_bow,Recurved Bow,ranged-weapons,Ranged Weapons,ranged-weapons|recurved|bow,,sprites/64x64/ranged-weapons/recurved_bow.png,exports/128x128/ranged-weapons/recurved_bow.png,exports/256x256/ranged-weapons/recurved_bow.png,variants/silhouettes/64x64/ranged-weapons/recurved_bow_silhouette.png
composite_bow,Composite Bow,ranged-weapons,Ranged Weapons,ranged-weapons|composite|bow,,sprites/64x64/ranged-weapons/composite_bow.png,exports/128x128/ranged-weapons/composite_bow.png,exports/256x256/ranged-weapons/composite_bow.png,variants/silhouettes/64x64/ranged-weapons/composite_bow_silhouette.png
hand_crossbow,Hand Crossbow,ranged-weapons,Ranged Weapons,ranged-weapons|hand|crossbow,,sprites/64x64/ranged-weapons/hand_crossbow.png,exports/128x128/ranged-weapons/hand_crossbow.png,exports/256x256/ranged-weapons/hand_crossbow.png,variants/silhouettes/64x64/ranged-weapons/hand_crossbow_silhouette.png
light_crossbow,Light Crossbow,ranged-weapons,Ranged Weapons,ranged-weapons|light|crossbow,,sprites/64x64/ranged-weapons/light_crossbow.png,exports/128x128/ranged-weapons/light_crossbow.png,exports/256x256/ranged-weapons/light_crossbow.png,variants/silhouettes/64x64/ranged-weapons/light_crossbow_silhouette.png
heavy_crossbow,Heavy Crossbow,ranged-weapons,Ranged Weapons,ranged-weapons|heavy|crossbow,,sprites/64x64/ranged-weapons/heavy_crossbow.png,exports/128x128/ranged-weapons/heavy_crossbow.png,exports/256x256/ranged-weapons/heavy_crossbow.png,variants/silhouettes/64x64/ranged-weapons/heavy_crossbow_silhouette.png
sling,Sling,ranged-weapons,Ranged Weapons,ranged-weapons|sling,,sprites/64x64/ranged-weapons/sling.png,exports/128x128/ranged-weapons/sling.png,exports/256x256/ranged-weapons/sling.png,variants/silhouettes/64x64/ranged-weapons/sling_silhouette.png
javelin,Javelin,ranged-weapons,Ranged Weapons,ranged-weapons|javelin,,sprites/64x64/ranged-weapons/javelin.png,exports/128x128/ranged-weapons/javelin.png,exports/256x256/ranged-weapons/javelin.png,variants/silhouettes/64x64/ranged-weapons/javelin_silhouette.png
throwing_knife,Throwing Knife,ranged-weapons,Ranged Weapons,ranged-weapons|throwing|knife,,sprites/64x64/ranged-weapons/throwing_knife.png,exports/128x128/ranged-weapons/throwing_knife.png,exports/256x256/ranged-weapons/throwing_knife.png,variants/silhouettes/64x64/ranged-weapons/throwing_knife_silhouette.png
throwing_axe,Throwing Axe,ranged-weapons,Ranged Weapons,ranged-weapons|throwing|axe,,sprites/64x64/ranged-weapons/throwing_axe.png,exports/128x128/ranged-weapons/throwing_axe.png,exports/256x256/ranged-weapons/throwing_axe.png,variants/silhouettes/64x64/ranged-weapons/throwing_axe_silhouette.png
chakram,Chakram,ranged-weapons,Ranged Weapons,ranged-weapons|chakram,,sprites/64x64/ranged-weapons/chakram.png,exports/128x128/ranged-weapons/chakram.png,exports/256x256/ranged-weapons/chakram.png,variants/silhouettes/64x64/ranged-weapons/chakram_silhouette.png
wooden_buckler,Wooden Buckler,core-shields,Core Shields,core-shields|wooden|buckler,,sprites/64x64/core-shields/wooden_buckler.png,exports/128x128/core-shields/wooden_buckler.png,exports/256x256/core-shields/wooden_buckler.png,variants/silhouettes/64x64/core-shields/wooden_buckler_silhouette.png
iron_buckler,Iron Buckler,core-shields,Core Shields,core-shields|iron|buckler,,sprites/64x64/core-shields/iron_buckler.png,exports/128x128/core-shields/iron_buckler.png,exports/256x256/core-shields/iron_buckler.png,variants/silhouettes/64x64/core-shields/iron_buckler_silhouette.png
wooden_round_shield,Wooden Round Shield,core-shields,Core Shields,core-shields|wooden|round|shield,,sprites/64x64/core-shields/wooden_round_shield.png,exports/128x128/core-shields/wooden_round_shield.png,exports/256x256/core-shields/wooden_round_shield.png,variants/silhouettes/64x64/core-shields/wooden_round_shield_silhouette.png
reinforced_round_shield,Reinforced Round Shield,core-shields,Core Shields,core-shields|reinforced|round|shield,,sprites/64x64/core-shields/reinforced_round_shield.png,exports/128x128/core-shields/reinforced_round_shield.png,exports/256x256/core-shields/reinforced_round_shield.png,variants/silhouettes/64x64/core-shields/reinforced_round_shield_silhouette.png
bronze_shield,Bronze Shield,core-shields,Core Shields,core-shields|bronze|shield,,sprites/64x64/core-shields/bronze_shield.png,exports/128x128/core-shields/bronze_shield.png,exports/256x256/core-shields/bronze_shield.png,variants/silhouettes/64x64/core-shields/bronze_shield_silhouette.png
heater_shield,Heater Shield,core-shields,Core Shields,core-shields|heater|shield,,sprites/64x64/core-shields/heater_shield.png,exports/128x128/core-shields/heater_shield.png,exports/256x256/core-shields/heater_shield.png,variants/silhouettes/64x64/core-shields/heater_shield_silhouette.png
kite_shield,Kite Shield,core-shields,Core Shields,core-shields|kite|shield,,sprites/64x64/core-shields/kite_shield.png,exports/128x128/core-shields/kite_shield.png,exports/256x256/core-shields/kite_shield.png,variants/silhouettes/64x64/core-shields/kite_shield_silhouette.png
tower_shield,Tower Shield,core-shields,Core Shields,core-shields|tower|shield,,sprites/64x64/core-shields/tower_shield.png,exports/128x128/core-shields/tower_shield.png,exports/256x256/core-shields/tower_shield.png,variants/silhouettes/64x64/core-shields/tower_shield_silhouette.png
pavise,Pavise,special-shields,Special Shields,special-shields|pavise,,sprites/64x64/special-shields/pavise.png,exports/128x128/special-shields/pavise.png,exports/256x256/special-shields/pavise.png,variants/silhouettes/64x64/special-shields/pavise_silhouette.png
targe,Targe,special-shields,Special Shields,special-shields|targe,,sprites/64x64/special-shields/targe.png,exports/128x128/special-shields/targe.png,exports/256x256/special-shields/targe.png,variants/silhouettes/64x64/special-shields/targe_silhouette.png
spiked_shield,Spiked Shield,special-shields,Special Shields,special-shields|spiked|shield,,sprites/64x64/special-shields/spiked_shield.png,exports/128x128/special-shields/spiked_shield.png,exports/256x256/special-shields/spiked_shield.png,variants/silhouettes/64x64/special-shields/spiked_shield_silhouette.png
ornate_shield,Ornate Shield,special-shields,Special Shields,special-shields|ornate|shield,,sprites/64x64/special-shields/ornate_shield.png,exports/128x128/special-shields/ornate_shield.png,exports/256x256/special-shields/ornate_shield.png,variants/silhouettes/64x64/special-shields/ornate_shield_silhouette.png
rune_shield,Rune Shield,special-shields,Special Shields,special-shields|rune|shield,,sprites/64x64/special-shields/rune_shield.png,exports/128x128/special-shields/rune_shield.png,exports/256x256/special-shields/rune_shield.png,variants/silhouettes/64x64/special-shields/rune_shield_silhouette.png
leaf_shield,Leaf Shield,special-shields,Special Shields,special-shields|leaf|shield,,sprites/64x64/special-shields/leaf_shield.png,exports/128x128/special-shields/leaf_shield.png,exports/256x256/special-shields/leaf_shield.png,variants/silhouettes/64x64/special-shields/leaf_shield_silhouette.png
cracked_shield,Cracked Shield,special-shields,Special Shields,special-shields|cracked|shield,,sprites/64x64/special-shields/cracked_shield.png,exports/128x128/special-shields/cracked_shield.png,exports/256x256/special-shields/cracked_shield.png,variants/silhouettes/64x64/special-shields/cracked_shield_silhouette.png
ward_shield,Ward Shield,special-shields,Special Shields,special-shields|ward|shield,,sprites/64x64/special-shields/ward_shield.png,exports/128x128/special-shields/ward_shield.png,exports/256x256/special-shields/ward_shield.png,variants/silhouettes/64x64/special-shields/ward_shield_silhouette.png
arrow_quiver,Arrow Quiver,combat-offhands,Combat Off-hands,combat-offhands|arrow|quiver,,sprites/64x64/combat-offhands/arrow_quiver.png,exports/128x128/combat-offhands/arrow_quiver.png,exports/256x256/combat-offhands/arrow_quiver.png,variants/silhouettes/64x64/combat-offhands/arrow_quiver_silhouette.png
bolt_case,Bolt Case,combat-offhands,Combat Off-hands,combat-offhands|bolt|case,,sprites/64x64/combat-offhands/bolt_case.png,exports/128x128/combat-offhands/bolt_case.png,exports/256x256/combat-offhands/bolt_case.png,variants/silhouettes/64x64/combat-offhands/bolt_case_silhouette.png
knife_bandolier,Knife Bandolier,combat-offhands,Combat Off-hands,combat-offhands|knife|bandolier,,sprites/64x64/combat-offhands/knife_bandolier.png,exports/128x128/combat-offhands/knife_bandolier.png,exports/256x256/combat-offhands/knife_bandolier.png,variants/silhouettes/64x64/combat-offhands/knife_bandolier_silhouette.png
parrying_dagger,Parrying Dagger,combat-offhands,Combat Off-hands,combat-offhands|parrying|dagger,,sprites/64x64/combat-offhands/parrying_dagger.png,exports/128x128/combat-offhands/parrying_dagger.png,exports/256x256/combat-offhands/parrying_dagger.png,variants/silhouettes/64x64/combat-offhands/parrying_dagger_silhouette.png
spellbook,Spellbook,combat-offhands,Combat Off-hands,combat-offhands|spellbook,,sprites/64x64/combat-offhands/spellbook.png,exports/128x128/combat-offhands/spellbook.png,exports/256x256/combat-offhands/spellbook.png,variants/silhouettes/64x64/combat-offhands/spellbook_silhouette.png
offhand_focus_orb,Focus Orb,combat-offhands,Combat Off-hands,combat-offhands|offhand|focus|orb,,sprites/64x64/combat-offhands/focus_orb.png,exports/128x128/combat-offhands/focus_orb.png,exports/256x256/combat-offhands/focus_orb.png,variants/silhouettes/64x64/combat-offhands/focus_orb_silhouette.png
warding_talisman,Warding Talisman,combat-offhands,Combat Off-hands,combat-offhands|warding|talisman,,sprites/64x64/combat-offhands/warding_talisman.png,exports/128x128/combat-offhands/warding_talisman.png,exports/256x256/combat-offhands/warding_talisman.png,variants/silhouettes/64x64/combat-offhands/warding_talisman_silhouette.png
lantern,Lantern,combat-offhands,Combat Off-hands,combat-offhands|lantern,,sprites/64x64/combat-offhands/lantern.png,exports/128x128/combat-offhands/lantern.png,exports/256x256/combat-offhands/lantern.png,variants/silhouettes/64x64/combat-offhands/lantern_silhouette.png
